Number,Active,Activity due,Category,Subcategory,Knowledge,Configuration item,Company,Event Severity,Impact,Parent Incident,Priority,Severity,Alert,Assignment group,Channel,Domain,Location,Complexity,asset_id,Created,Description,Monitoring Based KB Article,Additional assignee list,Event Policy,Approval,Approval history,Approval set,Assigned to,Business duration,Performance
INC06060194,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-WIT-ZBO-CPT-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0423983,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-023,5/31/24 10:39,KOMAT-globalkomatsu-orch-use1: ec-za-wit...,KB0037391 v33.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06095685,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FHI-DV3ROOTDC02,FHI 360,CRITICAL,2 - Medium,INC06095683,1 - Critical,2 - Medium,Alert0478289,SO-NOC-Windows,Alert,TOP/Customer/FHI 360,(empty),1,ASSET-023,6/23/24 11:38,FHI-dv3rootdc02: Device Failed Availabil...,KB0032848 v4.0,,,Not Yet Requested,,(empty),Venkata Tejesh Kanula: TEK,,Overdue
INC06103904,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-NZA-ECV-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0491562,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-023,6/28/24 15:32,KOMAT-globalkomatsu-orch-use1: ec-za-nza...,KB0048670 v22.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06114480,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-KYBOWGREER1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509557,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-023,07/08/24 14:09,GFS-KYBOWGREER1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06121554,TRUE,UNKNOWN,User Reported,,FALSE,FHI-FHI-UA-ODESA-MX68W,FHI 360,,1 - High,(empty),1 - Critical,2 - Medium,(empty),SO-NOC-Network,Portal Request Catalog,TOP/Customer/FHI 360,(empty),,ASSET-023,07/12/24 8:30,Description: Three sites: FHI-BFBOB1-Bob...,(empty),,,Not Yet Requested,,(empty),Satyajit Mohanty: TEK,,On Time
INC06122663,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-OHWESHILLR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0521471,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-023,07/12/24 22:48,GFS-OHWESHILLR1: Interface 'Tu31' is dow...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06114576,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-INFTWILRDR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509652,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-024,07/08/24 14:11,GFS-INFTWILRDR1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06112396,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-NZA-ECV-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0505962,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-025,07/06/24 10:15,KOMAT-globalkomatsu-orch-use1: ec-za-nza...,KB0048670 v22.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC05112505,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HCS-HCS-SBC-HCSCORE-ORD-2-F,CDW CLOUD COLLABORATION,,,INC05112504,1 - Critical,2 - Medium,(empty),SO-NOC-Collab,Prognosis,TOP/Customer - No offshore access/CDW CL...,(empty),1,ASSET-026,7/31/22 2:38,[HCS-SBC-HCSCORE-ORD-2-F]: SBC Session A...,KB0035843 v32.0,,,Not Yet Requested,,(empty),Jacob Ulrich: CDW,,On Time
INC05987891,TRUE,UNKNOWN,Monitoring Alert,,FALSE,CDWEC-MSPC-CORE01-LABNET,CDW EXPERIENCE CENTER,CRITICAL,1 - High,INC05376280,1 - Critical,2 - Medium,(empty),SO-NOC-Level 1,Alert,TOP/Customer/CDW EXPERIENCE CENTER,(empty),3,ASSET-026,04/05/24 11:18,Grouped Alerts: CDWEC-mspc-core01-labnet...,KB0013545 v9.0,,,Not Yet Requested,,(empty),(empty),27 Minutes,On Time
INC06063500,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-GLOBALKOMATSU-ORCH-USE1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0430363,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-026,06/03/24 9:40,KOMAT-globalkomatsu-orch-use1: Orchestra...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC04874351,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-MBWINNIDCR1,GORDON FOOD SERVICE INC,Critical,,INC04874348,1 - Critical,2 - Medium,(empty),SO-NOC-Network,,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-027,04/02/22 8:01,Interface 'Tu110 - BCDELTADCR1 Canada DM...,KB0013545 v1.0,,Poller: Interface operationally down --1...,Not Yet Requested,,(empty),Srinivas   Kumar: TEK,,On Time
INC05914224,TRUE,UNKNOWN,Monitoring Alert,,FALSE,DCAPPS-H-MGTP02-DEN-01,HMS APPS TEAMS,CRITICAL,1 - High,INC05875261,1 - Critical,1 - High,(empty),CDW Custom Apps,Alert,TOP/Customer - No offshore access/HMS AP...,(empty),1,ASSET-027,02/11/24 9:04,Grouped Alerts: DCAPPS-H-MGTP02-DEN-01: ...,KB0024044 v3.0,,,Not Yet Requested,,(empty),Emmanuel Mennesson: CDW,1 Day 21 Hours,On Time
INC06006941,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-WIT-MTA-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06000385,1 - Critical,2 - Medium,Alert0320047,SO-NOC-Network,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-027,4/20/24 12:29,KOMAT-globalkomatsu-orch-use1: Orchestra...,KB0048529 v45.0,,,Not Yet Requested,,(empty),Sutra Ginder: CDW,0 Seconds,On Time
INC06095488,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-NZA-ECV-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0477919,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-027,6/23/24 5:09,KOMAT-globalkomatsu-orch-use1: ec-za-nza...,KB0048670 v22.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06103637,TRUE,UNKNOWN,Monitoring Alert,,FALSE,CLALL-DC1-LEAF12,CLIFTONLARSONALLEN LLP,CRITICAL,1 - High,INC06068996,1 - Critical,2 - Medium,Alert0491150,SO-NOC-Network,Alert,TOP/Customer/CLIFTONLARSONALLEN LLP,(empty),1,ASSET-029,6/28/24 11:08,Grouped Alerts: CLALL-dc1-leaf12: Cisco ...,KB0024044 v11.0,,,Not Yet Requested,,(empty),sangeeta sharma: TEK,,On Time
INC06094020,TRUE,UNKNOWN,Monitoring Alert,,FALSE,CLALL-DC1-LEAF08,CLIFTONLARSONALLEN LLP,CRITICAL,1 - High,INC06068996,1 - Critical,2 - Medium,Alert0475319,SO-NOC-Network,Alert,TOP/Customer/CLIFTONLARSONALLEN LLP,(empty),1,ASSET-030,6/21/24 20:13,Grouped Alerts: CLALL-dc1-leaf08: Cisco ...,KB0024044 v11.0,,,Not Yet Requested,,(empty),sangeeta sharma: TEK,,On Time
INC06077396,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-BR-REC-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0448071,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-031,06/11/24 9:03,KOMAT-globalkomatsu-orch-use1: Orchestra...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
