asset_id,hard_asset,hard_company,hard_name,hard_location,hard_sys_class_name,hard_manufacturer,model_class,manufacturer,model_id,life_model,hard_serial_number,life_lifecycle_phase,life_active,hard_attestation_status,hard_u_ci_long_name,hard_category,life_sys_class_name,hard_sys_created_by,hard_first_discovered,hard_hardware_status,hard_install_status,hard_maintenance_schedule,hard_model_id,hard_model_number,hard_u_os,life_risk,hard_x_sclo_scilogic_id,hard_x_sclo_scilogic_monitored,hard_x_sclo_scilogic_region,hard_u_sl1_tier,hard_x_sclo_scilogic_url,hard_u_sciencelogic_status,hard_u_serial_name,hard_u_service_level,life_source,hard_operational_status,hard_subcategory,hard_sys_id,hard_u_voice_contact
ASSET-933,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203001BF,End of Support,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:08,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,High,60556,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60556,Active,SAL203001BF,Gold,ServiceNow,Production,Network,03ccfadedb75cb0460cd5478dc9619f3,"P1 On-Off Hours, P2 On-Hours"
ASSET-934,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203202R7,End of Support,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:07,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,High,60555,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60555,Active,SAL203202R7,Gold,ServiceNow,Production,Network,abac7e5edb75cb0460cd5478dc96193f,"P1 On-Off Hours, P2 On-Hours"
ASSET-935,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE-B,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL212304NT,End of Support,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,High,,FALSE,,,,,,Gold,ServiceNow,Production,Network,b24b7cb2db39874460cd5478dc961947,"P1 On-Off Hours, P2 On-Hours"
ASSET-936,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",MONTEBELLO UNIFIED SCHOOL DISTRICT,MUSD-DO-C6880SW-CORE,MUSD-123 S Montebello Blvd-Montebello-CA-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,XH3123210061,End of Support,TRUE,Not Yet Reviewed,MUSD-DO-C6880SW-CORE,Hardware,Hardware Model Lifecycle,silo,12/4/20 14:07,Installed,Installed,MAINT-WED-18:00-20:00,Cisco Catalyst 6800 Series Switches C6880-X,,21.4R3-S5.17,High,,FALSE,,,,,XH3123210061,Gold,ServiceNow,Gone,Network,f28d240bdbbc6054f45667e813961921,"P1 On-Off Hours, P2 On-Hours"
ASSET-937,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE-B,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL183606CD,End of Support,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,High,,FALSE,,,,,,Gold,ServiceNow,Production,Network,f72bf0b2db39874460cd5478dc961997,"P1 On-Off Hours, P2 On-Hours"
ASSET-938,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203001BF,End of Sale,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:08,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,Moderate,60556,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60556,Active,SAL203001BF,Gold,ServiceNow,Production,Network,03ccfadedb75cb0460cd5478dc9619f3,"P1 On-Off Hours, P2 On-Hours"
ASSET-939,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203202R7,End of Sale,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:07,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,Moderate,60555,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60555,Active,SAL203202R7,Gold,ServiceNow,Production,Network,abac7e5edb75cb0460cd5478dc96193f,"P1 On-Off Hours, P2 On-Hours"
ASSET-940,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE-B,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL212304NT,End of Sale,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,Moderate,,FALSE,,,,,,Gold,ServiceNow,Production,Network,b24b7cb2db39874460cd5478dc961947,"P1 On-Off Hours, P2 On-Hours"
ASSET-941,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",MONTEBELLO UNIFIED SCHOOL DISTRICT,MUSD-DO-C6880SW-CORE,MUSD-123 S Montebello Blvd-Montebello-CA-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,XH3123210061,End of Sale,TRUE,Not Yet Reviewed,MUSD-DO-C6880SW-CORE,Hardware,Hardware Model Lifecycle,silo,12/4/20 14:07,Installed,Installed,MAINT-WED-18:00-20:00,Cisco Catalyst 6800 Series Switches C6880-X,,21.4R3-S5.17,Moderate,,FALSE,,,,,XH3123210061,Gold,ServiceNow,Gone,Network,f28d240bdbbc6054f45667e813961921,"P1 On-Off Hours, P2 On-Hours"
ASSET-942,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE-B,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL183606CD,End of Sale,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,Moderate,,FALSE,,,,,,Gold,ServiceNow,Production,Network,f72bf0b2db39874460cd5478dc961997,"P1 On-Off Hours, P2 On-Hours"
ASSET-943,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203001BF,End of Life,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:08,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,Very High,60556,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60556,Active,SAL203001BF,Gold,ServiceNow,Production,Network,03ccfadedb75cb0460cd5478dc9619f3,"P1 On-Off Hours, P2 On-Hours"
ASSET-944,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL203202R7,End of Life,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,10/17/17 11:07,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,None,Very High,60555,TRUE,CDW-Stack2,Tier 3,https://dashboard2.services.cdw.com/em7/index.em7?exec=device_summary&did=60555,Active,SAL203202R7,Gold,ServiceNow,Production,Network,abac7e5edb75cb0460cd5478dc96193f,"P1 On-Off Hours, P2 On-Hours"
ASSET-945,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-XFINITY-T0406D-CORE-B,UMDCP-8500 Paint Branch Dr-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL212304NT,End of Life,TRUE,Not Yet Reviewed,UMDCP-UMD-XFINITY-T0406D-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,Very High,,FALSE,,,,,,Gold,ServiceNow,Production,Network,b24b7cb2db39874460cd5478dc961947,"P1 On-Off Hours, P2 On-Hours"
ASSET-946,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",MONTEBELLO UNIFIED SCHOOL DISTRICT,MUSD-DO-C6880SW-CORE,MUSD-123 S Montebello Blvd-Montebello-CA-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,XH3123210061,End of Life,TRUE,Not Yet Reviewed,MUSD-DO-C6880SW-CORE,Hardware,Hardware Model Lifecycle,silo,12/4/20 14:07,Installed,Installed,MAINT-WED-18:00-20:00,Cisco Catalyst 6800 Series Switches C6880-X,,21.4R3-S5.17,Very High,,FALSE,,,,,XH3123210061,Gold,ServiceNow,Gone,Network,f28d240bdbbc6054f45667e813961921,"P1 On-Off Hours, P2 On-Hours"
ASSET-947,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6880-X",UNIVERSITY OF MARYLAND - COLLEGE PARK,UMDCP-UMD-TYSER-T1134-CORE-B,UMDCP-Tyser Tower - 90 Stadium Drive-College Park-Maryland-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X,Cisco Catalyst 6800 Series Switches C6880-X,SAL183606CD,End of Life,TRUE,Not Yet Reviewed,UMDCP-UMD-TYSER-T1134-CORE-B,Hardware,Hardware Model Lifecycle,Christian.Gorder@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X,,,Very High,,FALSE,,,,,,Gold,ServiceNow,Production,Network,f72bf0b2db39874460cd5478dc961997,"P1 On-Off Hours, P2 On-Hours"
ASSET-927,Cisco C6880-X-LE,STATE ROAD AND TOLLWAY AUTHORITY (GA),SRTA-S-TMC-ATL-1-B,"SRTA-47 Trinity Ave, 4th Floor-Atlanta-GA-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,,End of Sale,TRUE,Not Yet Reviewed,SRTA-S-TMC-ATL-1-B,Hardware,Hardware Model Lifecycle,adriana.torres@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,Moderate,,FALSE,,,,,SAL2010ZW5L,Gold,ServiceNow,In Decommission,Network,b57ad8bc6f8426803824674f8e3ee4b0,"P1 On-Off Hours, P2 On-Hours"
ASSET-928,Cisco C6880-X-LE,THE PEW CHARITABLE TRUSTS,TPCT-DC-SW-CORE,TPCT-901 E St NW-Washington-DC-USA-20004,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,SAL1822TCS6,End of Sale,TRUE,Not Yet Reviewed,TPCT-DC-SW-CORE,Hardware,Hardware Model Lifecycle,silo,5/17/23 9:51,Installed,Installed,MAINT-FRI-SAT-23:00-07:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,Moderate,1078501,TRUE,CDW-Stack1,,https://dashboard1.services.cdw.com/em7/index.em7?exec=device_summary&did=1078501,Active,SAL1822TCS6,Gold,ServiceNow,Production,Network,c058d7a283b62dd440749e40ceaad374,P1-P2 On-Off-Hours
ASSET-929,Cisco C6880-X-LE,STATE ROAD AND TOLLWAY AUTHORITY (GA),SRTA-S-TMC-ATL-1-B,"SRTA-47 Trinity Ave, 4th Floor-Atlanta-GA-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,,End of Support,TRUE,Not Yet Reviewed,SRTA-S-TMC-ATL-1-B,Hardware,Hardware Model Lifecycle,adriana.torres@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,High,,FALSE,,,,,SAL2010ZW5L,Gold,ServiceNow,In Decommission,Network,b57ad8bc6f8426803824674f8e3ee4b0,"P1 On-Off Hours, P2 On-Hours"
ASSET-930,Cisco C6880-X-LE,THE PEW CHARITABLE TRUSTS,TPCT-DC-SW-CORE,TPCT-901 E St NW-Washington-DC-USA-20004,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,SAL1822TCS6,End of Support,TRUE,Not Yet Reviewed,TPCT-DC-SW-CORE,Hardware,Hardware Model Lifecycle,silo,5/17/23 9:51,Installed,Installed,MAINT-FRI-SAT-23:00-07:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,High,1078501,TRUE,CDW-Stack1,,https://dashboard1.services.cdw.com/em7/index.em7?exec=device_summary&did=1078501,Active,SAL1822TCS6,Gold,ServiceNow,Production,Network,c058d7a283b62dd440749e40ceaad374,P1-P2 On-Off-Hours
ASSET-931,Cisco C6880-X-LE,STATE ROAD AND TOLLWAY AUTHORITY (GA),SRTA-S-TMC-ATL-1-B,"SRTA-47 Trinity Ave, 4th Floor-Atlanta-GA-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,,End of Life,TRUE,Not Yet Reviewed,SRTA-S-TMC-ATL-1-B,Hardware,Hardware Model Lifecycle,adriana.torres@cdw.com,,Installed,Installed,MAINT-SUN-00:00-02:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,Very High,,FALSE,,,,,SAL2010ZW5L,Gold,ServiceNow,In Decommission,Network,b57ad8bc6f8426803824674f8e3ee4b0,"P1 On-Off Hours, P2 On-Hours"
ASSET-932,Cisco C6880-X-LE,THE PEW CHARITABLE TRUSTS,TPCT-DC-SW-CORE,TPCT-901 E St NW-Washington-DC-USA-20004,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6880-X-LE,Cisco Catalyst 6800 Series Switches C6880-X-LE,SAL1822TCS6,End of Life,TRUE,Not Yet Reviewed,TPCT-DC-SW-CORE,Hardware,Hardware Model Lifecycle,silo,5/17/23 9:51,Installed,Installed,MAINT-FRI-SAT-23:00-07:00,Cisco Catalyst 6800 Series Switches C6880-X-LE,,,Very High,1078501,TRUE,CDW-Stack1,,https://dashboard1.services.cdw.com/em7/index.em7?exec=device_summary&did=1078501,Active,SAL1822TCS6,Gold,ServiceNow,Production,Network,c058d7a283b62dd440749e40ceaad374,P1-P2 On-Off-Hours
ASSET-873,"Cisco Systems, Inc. Catalyst 9200 Series Switches 9200-24T-E",TRADER JOE'S,TJOES-FON-MDF-EDGE-SW1-2,TJOES-WHSE-FON-10288 Calabash Ave-Fontana-California-92335-USA,IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 9200 Series Switches 9200-24T-E,Cisco Catalyst 9200 Series Switches 9200-24T-E,FOC274936NX,General Availability,TRUE,Not Yet Reviewed,TJOES-FON-MDF-EDGE-SW1-2 :: WHSE-FONTANA-MDF-Edge Switch 1-2,Hardware,Hardware Model Lifecycle,silo,2/1/24 12:23,Installed,Installed,,Cisco Catalyst 9200 Series Switches 9200-24T-E,,,Low,649698,TRUE,CDW-Stack4,,https://dashboard4.services.cdw.com/em7/index.em7?exec=device_summary&did=649698,Active,FOC274936NX,Gold,ServiceNow,Production,Network,025f8352974cc650670ad004a253afe2,P1 - Always
